#order, minWL (nm), maxWL (nm)
131, 1109.5770675100005, 1119.5770675099993
132, 1101.1355745750004, 1111.0355745749994
133, 1092.8210213830005, 1102.7210213829994
134, 1084.7305659990004, 1094.5305659989995
135, 1076.6614506950004, 1086.3614506949993
136, 1068.8109988520005, 1078.4109988519995
137, 1060.9766119990004, 1070.4766119989995
138, 1053.2557669850005, 1062.7557669849994
139, 1045.6460132650004, 1055.1460132649995
140, 1038.2449703130005, 1047.5449703129996
141, 1030.8503251340005, 1040.1503251339993
142, 1023.5598298860004, 1032.8598298859995
143, 1016.4712996080005, 1025.5712996079994
144, 1009.3826100270005, 1018.4826100269995
145, 1002.3916954750005, 1011.4916954749995
146, 995.5965468759005, 1004.4965468758995
147, 988.7952098223005, 997.6952098222995
148, 982.0857827289004, 990.9857827288995
149, 975.4664150596004, 984.2664150595995
130, 1118.0484295680005, 1128.1484295679993
129, 1126.7526809600006, 1136.8526809599994
128, 1135.5929362800007, 1145.7929362799994
127, 1144.4724082190005, 1154.7724082189993
126, 1153.5944114590004, 1163.9944114589994
125, 1162.8623667510005, 1173.2623667509993
124, 1172.1798051930007, 1182.7798051929994
123, 1181.7503727140006, 1192.3503727139994
122, 1191.3778347860004, 1202.1778347859993
121, 1201.2660813540006, 1212.0660813539994
120, 1211.3191320320004, 1222.1191320319992
119, 1221.4411415450006, 1232.4411415449995
118, 1231.8364054570006, 1242.8364054569993
117, 1242.3093661870007, 1253.5093661869994
116, 1253.0646193440004, 1264.2646193439994
115, 1263.9069203820006, 1275.3069203819994
114, 1275.0411916130006, 1286.4411916129993
113, 1286.2725295920006, 1297.8725295919992
112, 1297.8062128920008, 1309.5062128919994
111, 1309.4477103050006, 1321.2477103049994
110, 1321.4026894900005, 1333.3026894899992
